"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"449","RT @ProGhost_: You will never see a legit rich person talk down on any amount of money, it is always we that are broke and new to making mo…",FALSE,0,NA,2023-04-28 09:07:37,FALSE,NA,"1651875808359723008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",246,TRUE,FALSE,NA,NA
"450","@Ola_Crrypt Abeg boss help me put the 2k here <U+0001F611><U+0001F932> https://t.co/vGCbEgLXUU",FALSE,0,"Ola_Crrypt",2023-04-28 09:07:26,FALSE,"1651867008303071232","1651875760557244416","1506909333740826628","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dee_whystone",0,FALSE,FALSE,NA,NA
"451","RT @big_babbbby: you are young take that risk!

but if the risk take you i no dey there ooo<U+0001F602><U+0001F44D><U+0001F3FD>",FALSE,0,NA,2023-04-28 09:07:25,FALSE,NA,"1651875757566705664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",21,TRUE,FALSE,NA,NA
"452","@instablog9ja This one is not Alfa, na babalawo <U+0001F602> A good Alfa will never make friends with a fraudster let alone he… https://t.co/pNoLVTLS4H",FALSE,3,"instablog9ja",2023-04-28 09:07:25,TRUE,"1651862036639301639","1651875757390458882","754393222563102720","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ola_Aguero",1,FALSE,FALSE,NA,NA
"453","@DannyCrypt @notEezzy Happy birthday to you sir @notEezzy",FALSE,3,"DannyCrypt",2023-04-28 09:07:21,FALSE,"1651872559061712896","1651875740827238400","1379490605043216384","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ola_Crrypt",0,FALSE,FALSE,NA,NA
"454","RT @Mauly_Archibong: Last rollover was a blast<U+0001F4A5> join telegram group below, let’s wreck Sportybet again.<U+2705> <U+0001F447><U+0001F3FE>

All Games are Free<U+0001F4AF>

https://t…",FALSE,0,NA,2023-04-28 09:07:09,FALSE,NA,"1651875689979576321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",372,TRUE,FALSE,NA,NA
"455","After that i tried calling ola customer care &amp; raised several tickets also &amp; after 2 months they responded &amp; comfir… https://t.co/P1ZMtXKyYs",FALSE,0,NA,2023-04-28 09:07:06,TRUE,NA,"1651875677107548160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrAPpy20",0,FALSE,FALSE,NA,NA
"456","RT @BukolaOfGod1: Thread of Top Nigerian Artists With A Similar Sound And Voice https://t.co/pLvKnDHzmX",FALSE,0,NA,2023-04-28 09:07:02,FALSE,NA,"1651875662620241920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",433,TRUE,FALSE,NA,NA
"457","RT @lina_love_1: In Ethiopia, Amhara people are being murdered in the most brutal, horrific fashion women raped; hundreds of thousands disp…",FALSE,0,NA,2023-04-28 09:06:54,FALSE,NA,"1651875626322735105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kidus20082003",11,TRUE,FALSE,NA,NA
"458","RT @Oghenerie_jnr: We’d be strolling home jejely from school oh then someone will just whisper “the last person is a fool” <U+0001F602> https://t.co/w…",FALSE,0,NA,2023-04-28 09:06:54,FALSE,NA,"1651875625685139458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",406,TRUE,FALSE,NA,NA
